Date,Time,Currency,Event Name,Impact
2019-06-14,8:30am,USD,Core Retail Sales m/m,High Impact Expected
2019-06-14,8:30am,USD,Retail Sales m/m,High Impact Expected
2019-06-19,2:00pm,USD,FOMC Economic Projections,High Impact Expected
2019-06-19,2:00pm,USD,FOMC Statement,High Impact Expected
2019-06-19,2:00pm,USD,Federal Funds Rate,High Impact Expected
2019-06-19,2:30pm,USD,FOMC Press Conference,High Impact Expected
2019-06-25,10:00am,USD,CB Consumer Confidence,High Impact Expected
2019-06-25,1:00pm,USD,FOMC Member Powell Speaks,High Impact Expected
2019-06-26,8:30am,USD,Core Durable Goods Orders m/m,High Impact Expected
2019-06-27,8:30am,USD,Final GDP q/q,High Impact Expected
2019-07-01,10:00am,USD,ISM Manufacturing PMI,High Impact Expected
2019-07-03,10:00am,USD,ISM Services PMI,High Impact Expected
2019-07-03,8:15am,USD,ADP Non-Farm Employment Change,High Impact Expected
2019-07-05,8:30am,USD,Average Hourly Earnings m/m,High Impact Expected
2019-07-05,8:30am,USD,Non-Farm Employment Change,High Impact Expected
2019-07-05,8:30am,USD,Unemployment Rate,High Impact Expected
2019-07-09,8:45am,USD,FOMC Member Powell Speaks,High Impact Expected
2019-07-10,10:00am,USD,Fed Chairman Powell Testifies,High Impact Expected
2019-07-10,2:00pm,USD,FOMC Meeting Minutes,High Impact Expected
2019-07-11,10:00am,USD,Fed Chairman Powell Testifies,High Impact Expected
2019-07-11,8:30am,USD,CPI m/m,High Impact Expected
2019-07-11,8:30am,USD,CPI y/y,High Impact Expected
2019-07-11,8:30am,USD,Core CPI m/m,High Impact Expected
2019-07-11,8:30am,USD,Core CPI y/y,High Impact Expected
2019-07-12,8:30am,USD,PPI m/m,High Impact Expected
2019-07-16,1:00pm,USD,FOMC Member Powell Speaks,High Impact Expected
2019-07-16,2:40pm,USD,FOMC Member Evans Speaks,High Impact Expected
2019-07-16,8:30am,USD,Core Retail Sales m/m,High Impact Expected
2019-07-16,8:30am,USD,Retail Sales m/m,High Impact Expected
2019-07-25,8:30am,USD,Core Durable Goods Orders m/m,High Impact Expected
2019-07-26,8:30am,USD,Advance GDP q/q,High Impact Expected
2019-07-30,10:00am,USD,CB Consumer Confidence,High Impact Expected
2019-07-31,2:00pm,USD,FOMC Statement,High Impact Expected
2019-07-31,2:00pm,USD,Federal Funds Rate,High Impact Expected
2019-07-31,2:30pm,USD,FOMC Press Conference,High Impact Expected
2019-07-31,8:15am,USD,ADP Non-Farm Employment Change,High Impact Expected
2019-08-01,10:00am,USD,ISM Manufacturing PMI,High Impact Expected
2019-08-02,1:45pm,USD,President Trump Speaks,High Impact Expected
2019-08-02,8:30am,USD,Average Hourly Earnings m/m,High Impact Expected
2019-08-02,8:30am,USD,Non-Farm Employment Change,High Impact Expected
2019-08-02,8:30am,USD,Unemployment Rate,High Impact Expected
2019-08-05,10:00am,USD,ISM Services PMI,High Impact Expected
2019-08-13,8:30am,USD,CPI m/m,High Impact Expected
2019-08-13,8:30am,USD,CPI y/y,High Impact Expected
2019-08-13,8:30am,USD,Core CPI m/m,High Impact Expected
2019-08-13,8:30am,USD,Core CPI y/y,High Impact Expected
2019-08-15,8:30am,USD,Core Retail Sales m/m,High Impact Expected
2019-08-15,8:30am,USD,Philly Fed Manufacturing Index,High Impact Expected
2019-08-15,8:30am,USD,Retail Sales m/m,High Impact Expected
2019-08-21,2:00pm,USD,FOMC Meeting Minutes,High Impact Expected
2019-08-23,10:00am,USD,FOMC Member Powell Speaks,High Impact Expected
2019-08-26,8:30am,USD,Core Durable Goods Orders m/m,High Impact Expected
2019-08-27,10:00am,USD,CB Consumer Confidence,High Impact Expected
2019-08-28,10:30am,USD,Crude Oil Inventories,High Impact Expected
2019-08-29,8:30am,USD,Prelim GDP q/q,High Impact Expected
2019-08-30,8:30am,USD,Personal Spending m/m,High Impact Expected
2019-09-03,10:00am,USD,ISM Manufacturing PMI,High Impact Expected
2019-09-05,11:00am,USD,Crude Oil Inventories,High Impact Expected
2019-09-05,8:15am,USD,ADP Non-Farm Employment Change,High Impact Expected
2019-09-06,12:30pm,USD,FOMC Member Powell Speaks,High Impact Expected
2019-09-06,8:30am,USD,Average Hourly Earnings m/m,High Impact Expected
2019-09-06,8:30am,USD,Non-Farm Employment Change,High Impact Expected
2019-09-06,8:30am,USD,Unemployment Rate,High Impact Expected
2019-09-11,10:30am,USD,Crude Oil Inventories,High Impact Expected
2019-09-12,8:30am,USD,CPI m/m,High Impact Expected
2019-09-12,8:30am,USD,CPI y/y,High Impact Expected
2019-09-12,8:30am,USD,Core CPI m/m,High Impact Expected
2019-09-12,8:30am,USD,Core CPI y/y,High Impact Expected
2019-09-13,8:30am,USD,Core Retail Sales m/m,High Impact Expected
2019-09-13,8:30am,USD,Retail Sales m/m,High Impact Expected
2019-09-18,10:30am,USD,Crude Oil Inventories,High Impact Expected
2019-09-18,2:00pm,USD,FOMC Economic Projections,High Impact Expected
2019-09-18,2:00pm,USD,FOMC Statement,High Impact Expected
2019-09-18,2:00pm,USD,Federal Funds Rate,High Impact Expected
2019-09-18,2:30pm,USD,FOMC Press Conference,High Impact Expected
2019-09-19,8:30am,USD,Philly Fed Manufacturing Index,High Impact Expected
2019-09-24,10:00am,USD,CB Consumer Confidence,High Impact Expected
2019-09-25,10:30am,USD,Crude Oil Inventories,High Impact Expected
2019-09-27,8:30am,USD,Core Durable Goods Orders m/m,High Impact Expected
2019-09-27,8:30am,USD,Personal Spending m/m,High Impact Expected
2019-10-01,10:00am,USD,ISM Manufacturing PMI,High Impact Expected
2019-10-02,10:30am,USD,Crude Oil Inventories,High Impact Expected
2019-10-02,8:15am,USD,ADP Non-Farm Employment Change,High Impact Expected
2019-10-03,10:00am,USD,ISM Services PMI,High Impact Expected
2019-10-04,2:00pm,USD,FOMC Member Powell Speaks,High Impact Expected
2019-10-04,8:30am,USD,Average Hourly Earnings m/m,High Impact Expected
2019-10-04,8:30am,USD,Non-Farm Employment Change,High Impact Expected
2019-10-04,8:30am,USD,Unemployment Rate,High Impact Expected
2019-10-07,1:00pm,USD,FOMC Member Powell Speaks,High Impact Expected
2019-10-08,2:30pm,USD,FOMC Member Powell Speaks,High Impact Expected
2019-10-09,10:30am,USD,Crude Oil Inventories,High Impact Expected
2019-10-09,11:00am,USD,FOMC Member Powell Speaks,High Impact Expected
2019-10-09,2:00pm,USD,FOMC Meeting Minutes,High Impact Expected
2019-10-10,8:30am,USD,CPI m/m,High Impact Expected
2019-10-10,8:30am,USD,CPI y/y,High Impact Expected
2019-10-10,8:30am,USD,Core CPI m/m,High Impact Expected
2019-10-10,8:30am,USD,Core CPI y/y,High Impact Expected
2019-10-16,8:30am,USD,Core Retail Sales m/m,High Impact Expected
2019-10-16,8:30am,USD,Retail Sales m/m,High Impact Expected
2019-10-17,11:00am,USD,Crude Oil Inventories,High Impact Expected
2019-10-17,8:30am,USD,Philly Fed Manufacturing Index,High Impact Expected
2019-10-29,10:00am,USD,CB Consumer Confidence,High Impact Expected
2019-10-30,2:00pm,USD,FOMC Statement,High Impact Expected
2019-10-30,2:00pm,USD,Federal Funds Rate,High Impact Expected
2019-10-30,2:30pm,USD,FOMC Press Conference,High Impact Expected
2019-10-30,8:15am,USD,ADP Non-Farm Employment Change,High Impact Expected
2019-10-30,8:30am,USD,Advance GDP q/q,High Impact Expected
2019-11-01,10:00am,USD,ISM Manufacturing PMI,High Impact Expected
2019-11-01,8:30am,USD,Average Hourly Earnings m/m,High Impact Expected
2019-11-01,8:30am,USD,Non-Farm Employment Change,High Impact Expected
2019-11-01,8:30am,USD,Unemployment Rate,High Impact Expected
2019-11-05,10:00am,USD,ISM Services PMI,High Impact Expected
2019-11-12,12:00pm,USD,President Trump Speaks,High Impact Expected
2019-11-13,11:00am,USD,Fed Chairman Powell Testifies,High Impact Expected
2019-11-13,8:30am,USD,CPI m/m,High Impact Expected
2019-11-13,8:30am,USD,CPI y/y,High Impact Expected
2019-11-13,8:30am,USD,Core CPI m/m,High Impact Expected
2019-11-13,8:30am,USD,Core CPI y/y,High Impact Expected
2019-11-14,10:00am,USD,Fed Chairman Powell Testifies,High Impact Expected
2019-11-14,8:30am,USD,PPI m/m,High Impact Expected
2019-11-15,8:30am,USD,Core Retail Sales m/m,High Impact Expected
2019-11-15,8:30am,USD,Retail Sales m/m,High Impact Expected
2019-11-20,2:00pm,USD,FOMC Meeting Minutes,High Impact Expected
2019-11-22,9:45am,USD,Flash Manufacturing PMI,High Impact Expected
2019-11-25,7:00pm,USD,FOMC Member Powell Speaks,High Impact Expected
2019-11-26,10:00am,USD,CB Consumer Confidence,High Impact Expected
2019-11-27,9:45am,USD,Chicago PMI,High Impact Expected
2019-12-02,10:00am,USD,ISM Manufacturing PMI,High Impact Expected
2019-12-04,10:00am,USD,ISM Services PMI,High Impact Expected
2019-12-04,8:15am,USD,ADP Non-Farm Employment Change,High Impact Expected
2019-12-06,8:30am,USD,Average Hourly Earnings m/m,High Impact Expected
2019-12-06,8:30am,USD,Non-Farm Employment Change,High Impact Expected
2019-12-06,8:30am,USD,Unemployment Rate,High Impact Expected
2019-12-11,2:00pm,USD,FOMC Economic Projections,High Impact Expected
2019-12-11,2:00pm,USD,FOMC Statement,High Impact Expected
2019-12-11,2:00pm,USD,Federal Funds Rate,High Impact Expected
2019-12-11,2:30pm,USD,FOMC Press Conference,High Impact Expected
2019-12-11,8:30am,USD,CPI m/m,High Impact Expected
2019-12-11,8:30am,USD,CPI y/y,High Impact Expected
2019-12-11,8:30am,USD,Core CPI m/m,High Impact Expected
2019-12-11,8:30am,USD,Core CPI y/y,High Impact Expected
2019-12-13,8:30am,USD,Core Retail Sales m/m,High Impact Expected
2019-12-13,8:30am,USD,Retail Sales m/m,High Impact Expected
2019-12-16,9:45am,USD,Flash Manufacturing PMI,High Impact Expected
2019-12-30,9:45am,USD,Chicago PMI,High Impact Expected
2019-12-31,10:00am,USD,CB Consumer Confidence,High Impact Expected
2020-01-03,10:00am,USD,ISM Manufacturing PMI,High Impact Expected
2020-01-03,2:00pm,USD,FOMC Meeting Minutes,High Impact Expected
2020-01-07,10:00am,USD,ISM Services PMI,High Impact Expected
2020-01-08,11:26am,USD,President Trump Speaks,High Impact Expected
2020-01-08,8:15am,USD,ADP Non-Farm Employment Change,High Impact Expected
2020-01-10,8:30am,USD,Average Hourly Earnings m/m,High Impact Expected
2020-01-10,8:30am,USD,Non-Farm Employment Change,High Impact Expected
2020-01-10,8:30am,USD,Unemployment Rate,High Impact Expected
2020-01-14,8:30am,USD,CPI m/m,High Impact Expected
2020-01-14,8:30am,USD,CPI y/y,High Impact Expected
2020-01-14,8:30am,USD,Core CPI m/m,High Impact Expected
2020-01-14,8:30am,USD,Core CPI y/y,High Impact Expected
2020-01-16,8:30am,USD,Core Retail Sales m/m,High Impact Expected
2020-01-16,8:30am,USD,Retail Sales m/m,High Impact Expected
2020-01-23,11:00am,USD,Crude Oil Inventories,High Impact Expected
2020-01-24,4:30am,USD,Treasury Sec Mnuchin Speaks,High Impact Expected
2020-01-28,10:00am,USD,CB Consumer Confidence,High Impact Expected
2020-01-29,2:00pm,USD,FOMC Statement,High Impact Expected
2020-01-29,2:00pm,USD,Federal Funds Rate,High Impact Expected
2020-01-29,2:30pm,USD,FOMC Press Conference,High Impact Expected
2020-01-30,8:30am,USD,Advance GDP q/q,High Impact Expected
2020-02-03,10:00am,USD,ISM Manufacturing PMI,High Impact Expected
2020-02-04,9:00pm,USD,President Trump Speaks,High Impact Expected
2020-02-05,10:00am,USD,ISM Services PMI,High Impact Expected
2020-02-05,8:15am,USD,ADP Non-Farm Employment Change,High Impact Expected
2020-02-07,8:30am,USD,Average Hourly Earnings m/m,High Impact Expected
2020-02-07,8:30am,USD,Non-Farm Employment Change,High Impact Expected
2020-02-07,8:30am,USD,Unemployment Rate,High Impact Expected
2020-02-11,10:00am,USD,Fed Chairman Powell Testifies,High Impact Expected
2020-02-12,9:30am,USD,Fed Chairman Powell Testifies,High Impact Expected
2020-02-13,8:30am,USD,CPI m/m,High Impact Expected
2020-02-13,8:30am,USD,CPI y/y,High Impact Expected
2020-02-13,8:30am,USD,Core CPI m/m,High Impact Expected
2020-02-13,8:30am,USD,Core CPI y/y,High Impact Expected
2020-02-13,9:00am,USD,Fed Gov Nomination Hearings,High Impact Expected
2020-02-14,8:30am,USD,Core Retail Sales m/m,High Impact Expected
2020-02-14,8:30am,USD,Retail Sales m/m,High Impact Expected
2020-02-19,2:00pm,USD,FOMC Meeting Minutes,High Impact Expected
2020-02-21,9:45am,USD,Flash Manufacturing PMI,High Impact Expected
2020-02-25,10:00am,USD,CB Consumer Confidence,High Impact Expected
2020-02-28,2:30pm,USD,Fed Announcement,High Impact Expected
2020-03-02,10:00am,USD,ISM Manufacturing PMI,High Impact Expected
2020-03-03,10:00am,USD,FOMC Statement,High Impact Expected
2020-03-03,10:00am,USD,Federal Funds Rate,High Impact Expected
2020-03-03,11:00am,USD,FOMC Press Conference,High Impact Expected
2020-03-04,10:00am,USD,ISM Services PMI,High Impact Expected
2020-03-04,8:15am,USD,ADP Non-Farm Employment Change,High Impact Expected
2020-03-06,8:30am,USD,Average Hourly Earnings m/m,High Impact Expected
2020-03-06,8:30am,USD,Non-Farm Employment Change,High Impact Expected
2020-03-06,8:30am,USD,Unemployment Rate,High Impact Expected
2020-03-09,6:34pm,USD,President Trump Speaks,High Impact Expected
2020-03-11,10:00am,USD,Treasury Sec Mnuchin Speaks,High Impact Expected
2020-03-11,8:30am,USD,CPI m/m,High Impact Expected
2020-03-11,8:30am,USD,CPI y/y,High Impact Expected
2020-03-11,8:30am,USD,Core CPI m/m,High Impact Expected
2020-03-11,8:30am,USD,Core CPI y/y,High Impact Expected
2020-03-11,9:00pm,USD,President Trump Speaks,High Impact Expected
2020-03-13,3:30pm,USD,President Trump Speaks,High Impact Expected
2020-03-15,5:00pm,USD,FOMC Statement,High Impact Expected
2020-03-15,5:00pm,USD,Fed Announcement,High Impact Expected
2020-03-15,5:00pm,USD,Federal Funds Rate,High Impact Expected
2020-03-15,5:17pm,USD,President Trump Speaks,High Impact Expected
2020-03-15,6:30pm,USD,FOMC Press Conference,High Impact Expected
2020-03-16,3:25pm,USD,President Trump Speaks,High Impact Expected
2020-03-17,10:45am,USD,Fed Announcement,High Impact Expected
2020-03-17,11:40am,USD,President Trump Speaks,High Impact Expected
2020-03-17,6:00pm,USD,Fed Announcement,High Impact Expected
2020-03-17,8:30am,USD,Core Retail Sales m/m,High Impact Expected
2020-03-17,8:30am,USD,Retail Sales m/m,High Impact Expected
2020-03-18,12:07pm,USD,President Trump Speaks,High Impact Expected
2020-03-19,11:38am,USD,President Trump Speaks,High Impact Expected
2020-03-19,9:00am,USD,Fed Announcement,High Impact Expected
2020-03-20,10:00am,USD,Fed Announcement,High Impact Expected
2020-03-20,11:00am,USD,Fed Announcement,High Impact Expected
2020-03-20,11:50am,USD,President Trump Speaks,High Impact Expected
2020-03-21,12:30pm,USD,President Trump Speaks,High Impact Expected
2020-03-23,6:12pm,USD,President Trump Speaks,High Impact Expected
2020-03-23,8:00am,USD,Fed Announcement,High Impact Expected
2020-03-24,12:05pm,USD,President Trump Speaks,High Impact Expected
2020-03-24,9:45am,USD,Flash Manufacturing PMI,High Impact Expected
2020-03-26,7:06am,USD,FOMC Member Powell Speaks,High Impact Expected
2020-03-26,8:30am,USD,Unemployment Claims,High Impact Expected
2020-03-27,5:30pm,USD,President Trump Speaks,High Impact Expected
2020-03-29,5:43pm,USD,President Trump Speaks,High Impact Expected
2020-03-30,5:15pm,USD,President Trump Speaks,High Impact Expected
2020-03-31,10:00am,USD,CB Consumer Confidence,High Impact Expected
2020-03-31,5:30pm,USD,President Trump Speaks,High Impact Expected
2020-03-31,8:30am,USD,Fed Announcement,High Impact Expected
2020-04-01,10:00am,USD,ISM Manufacturing PMI,High Impact Expected
2020-04-01,5:37pm,USD,President Trump Speaks,High Impact Expected
2020-04-01,8:15am,USD,ADP Non-Farm Employment Change,High Impact Expected
2020-04-02,5:23pm,USD,President Trump Speaks,High Impact Expected
2020-04-02,8:30am,USD,Unemployment Claims,High Impact Expected
2020-04-03,8:30am,USD,Average Hourly Earnings m/m,High Impact Expected
2020-04-03,8:30am,USD,Non-Farm Employment Change,High Impact Expected
2020-04-03,8:30am,USD,Unemployment Rate,High Impact Expected
2020-04-04,3:30pm,USD,President Trump Speaks,High Impact Expected
2020-04-05,6:45pm,USD,President Trump Speaks,High Impact Expected
2020-04-06,5:42pm,USD,President Trump Speaks,High Impact Expected
2020-04-07,5:42pm,USD,President Trump Speaks,High Impact Expected
2020-04-08,5:46pm,USD,President Trump Speaks,High Impact Expected
2020-04-09,10:00am,USD,FOMC Member Powell Speaks,High Impact Expected
2020-04-09,6:24pm,USD,President Trump Speaks,High Impact Expected
2020-04-09,8:30am,USD,Fed Announcement,High Impact Expected
2020-04-09,8:30am,USD,Unemployment Claims,High Impact Expected
2020-04-10,2:00pm,USD,President Trump Speaks,High Impact Expected
2020-04-10,8:30am,USD,CPI m/m,High Impact Expected
2020-04-10,8:30am,USD,CPI y/y,High Impact Expected
2020-04-10,8:30am,USD,Core CPI m/m,High Impact Expected
2020-04-10,8:30am,USD,Core CPI y/y,High Impact Expected
2020-04-13,5:49pm,USD,President Trump Speaks,High Impact Expected
2020-04-14,6:15pm,USD,President Trump Speaks,High Impact Expected
2020-04-15,5:50pm,USD,President Trump Speaks,High Impact Expected
2020-04-15,8:30am,USD,Core Retail Sales m/m,High Impact Expected
2020-04-15,8:30am,USD,Retail Sales m/m,High Impact Expected
2020-04-16,6:08pm,USD,President Trump Speaks,High Impact Expected
2020-04-16,8:30am,USD,Unemployment Claims,High Impact Expected
2020-04-17,6:00pm,USD,President Trump Speaks,High Impact Expected
2020-04-18,6:00pm,USD,President Trump Speaks,High Impact Expected
2020-04-19,6:25pm,USD,President Trump Speaks,High Impact Expected
2020-04-20,5:40pm,USD,President Trump Speaks,High Impact Expected
2020-04-21,5:46pm,USD,President Trump Speaks,High Impact Expected
2020-04-22,6:11pm,USD,President Trump Speaks,High Impact Expected
2020-04-23,5:43pm,USD,President Trump Speaks,High Impact Expected
2020-04-23,8:30am,USD,Unemployment Claims,High Impact Expected
2020-04-23,9:45am,USD,Flash Manufacturing PMI,High Impact Expected
2020-04-24,5:40pm,USD,President Trump Speaks,High Impact Expected
2020-04-24,8:30am,USD,Core Durable Goods Orders m/m,High Impact Expected
2020-04-27,5:38pm,USD,President Trump Speaks,High Impact Expected
2020-04-28,10:00am,USD,CB Consumer Confidence,High Impact Expected
2020-04-29,2:00pm,USD,FOMC Statement,High Impact Expected
2020-04-29,2:30pm,USD,FOMC Press Conference,High Impact Expected
2020-04-29,8:32am,USD,Advance GDP q/q,High Impact Expected
2020-04-30,10:00am,USD,Fed Announcement,High Impact Expected
2020-04-30,8:30am,USD,Unemployment Claims,High Impact Expected
2020-05-01,10:00am,USD,ISM Manufacturing PMI,High Impact Expected
2020-05-05,10:00am,USD,ISM Services PMI,High Impact Expected
2020-05-06,8:15am,USD,ADP Non-Farm Employment Change,High Impact Expected
2020-05-07,8:30am,USD,Unemployment Claims,High Impact Expected
2020-05-08,8:00am,USD,President Trump Speaks,High Impact Expected
2020-05-08,8:30am,USD,Average Hourly Earnings m/m,High Impact Expected
2020-05-08,8:30am,USD,Non-Farm Employment Change,High Impact Expected
2020-05-08,8:30am,USD,Unemployment Rate,High Impact Expected
2020-05-12,8:30am,USD,CPI m/m,High Impact Expected
2020-05-12,8:30am,USD,CPI y/y,High Impact Expected
2020-05-12,8:30am,USD,Core CPI m/m,High Impact Expected
2020-05-12,8:30am,USD,Core CPI y/y,High Impact Expected
2020-05-13,9:00am,USD,FOMC Member Powell Speaks,High Impact Expected
2020-05-15,8:30am,USD,Core Retail Sales m/m,High Impact Expected
2020-05-15,8:30am,USD,Retail Sales m/m,High Impact Expected
2020-05-17,7:00pm,USD,FOMC Member Powell Speaks,High Impact Expected
2020-05-19,10:00am,USD,Fed Chairman Powell Testifies,High Impact Expected
2020-05-21,2:30pm,USD,FOMC Member Powell Speaks,High Impact Expected
2020-05-21,9:45am,USD,Flash Manufacturing PMI,High Impact Expected
